condition,scale,subject,epoch,accuracy,auc,fmeasure
train_only,0.5,2,15,0.28125,0.5580954218106996,0.20237114573778142
train_only,0.5,3,30,0.5694444444444444,0.8459321952160496,0.5822870012870013
train_only,0.5,4,17,0.3611111111111111,0.6488795653292182,0.36610097773033096
train_only,0.5,5,15,0.265625,0.5405454282407407,0.17403999509262666
train_only,0.5,6,15,0.2465277777777778,0.5822884516460906,0.1918334758073697
train_only,0.5,7,15,0.3315972222222222,0.6047735018004116,0.27160098910885677
train_only,0.5,8,45,0.6215277777777778,0.8594151877572016,0.6147954029035354
train_only,0.5,9,15,0.3541666666666667,0.7364205568415638,0.2845637343490044
train_only,1.5,1,28,0.6041666666666666,0.8647641782407408,0.583486518997001
train_only,1.5,2,24,0.3072916666666667,0.5506446116255144,0.2633578527284561
train_only,1.5,3,27,0.6145833333333334,0.8596281828703702,0.600142129315915
train_only,1.5,4,22,0.3333333333333333,0.6587376221707818,0.2819039539205936
train_only,1.5,5,15,0.25,0.5247958461934156,0.1
train_only,1.5,6,15,0.3177083333333333,0.5722575874485597,0.2938567810889255
train_only,1.5,7,58,0.3472222222222222,0.646142779063786,0.326140463874272
train_only,1.5,8,29,0.6163194444444444,0.8531418788580246,0.6092228886953445
train_only,1.5,9,25,0.578125,0.8286072530864198,0.5797682288432732
train_only,2.0,1,24,0.5885416666666666,0.8678425604423868,0.5684589699046532
train_only,2.0,2,15,0.24305555555555555,0.5091186021090536,0.16272061988807576
train_only,2.0,3,21,0.6267361111111112,0.8445617926954734,0.6116157217805773
train_only,2.0,4,42,0.359375,0.6474930877057612,0.3522266357669055
train_only,2.0,5,15,0.24479166666666666,0.5232044110082305,0.09901685393258428
train_only,2.0,6,18,0.375,0.6600356867283951,0.36303176525004077
train_only,2.0,7,41,0.3576388888888889,0.6558883101851852,0.323684393730673
train_only,2.0,8,32,0.6319444444444444,0.854761445473251,0.6192012589757262
train_only,2.0,9,18,0.5642361111111112,0.7988642939814815,0.5556342055562136
train_only,2.5,1,33,0.4496527777777778,0.8295114776234568,0.4082510658197488
train_only,2.5,2,22,0.2673611111111111,0.5619554558899177,0.1419642846733673
train_only,2.5,3,44,0.5625,0.8394057034465021,0.5436675099930856
train_only,2.5,4,,0.3940972222222222,0.6821992348251028,0.3341731972006517
train_only,2.5,5,15,0.2604166666666667,0.5435816132973251,0.17311777200849657
train_only,2.5,6,30,0.4045138888888889,0.6847471386316872,0.36458489248579784
train_only,2.5,7,25,0.2777777777777778,0.6073816872427984,0.1637871588023011
train_only,2.5,8,24,0.4357638888888889,0.8280727559156379,0.39643188472363916
train_only,2.5,9,,0.5920138888888888,0.8475196116255144,0.5834566761616518
test_only,0.5,1,,0.53125,0.8443086098251028,0.47209513006289006
test_only,0.5,2,15,0.2482638888888889,0.5047140239197531,0.1058874380090086
test_only,0.5,3,39,0.6892361111111112,0.9195240162037036,0.5967553964627018
test_only,0.5,4,42,0.3576388888888889,0.698881172839506,0.291335422484656
test_only,0.5,5,15,0.25,0.520529915766461,0.1
