condition,scale,subject,epoch,accuracy,auc,fmeasure
train_only,0.1,8,34,0.6840277777777778,0.8752250514403292,0.6857210987313557
train_only,0.1,9,23,0.6006944444444444,0.8473789544753085,0.6063950527204018
train_only,0.2,1,,0.6423611111111112,0.8684614519032922,0.6286715774014411
train_only,0.2,2,16,0.2934027777777778,0.5666433577674898,0.26122825951384726
train_only,0.2,3,30,0.6336805555555556,0.8729343492798355,0.6330673681242441
train_only,0.2,4,29,0.4340277777777778,0.6899554719650207,0.4389884290013963
train_only,0.2,5,15,0.25,0.5258929719650206,0.1
train_only,0.2,6,15,0.2725694444444444,0.5491657021604938,0.22384903127226774
train_only,0.2,7,39,0.4097222222222222,0.6789038387345679,0.4064629672685939
train_only,0.2,8,32,0.65625,0.8746061599794239,0.6564937312624363
train_only,0.2,9,18,0.546875,0.8029112011316872,0.5259628037320816
train_only,0.3,1,33,0.6128472222222222,0.8630561985596709,0.5737692477760203
train_only,0.3,2,15,0.3020833333333333,0.5678811406893004,0.22597953631449474
train_only,0.3,3,50,0.6493055555555556,0.8780341756687241,0.6493060917617939
train_only,0.3,4,29,0.4253472222222222,0.6951798804012346,0.4057046005309863
train_only,0.3,5,15,0.2552083333333333,0.5570023148148148,0.11648091300460005
train_only,0.3,6,15,0.2569444444444444,0.5245587384259259,0.20572830119913416
train_only,0.3,7,36,0.40625,0.6623746141975309,0.4098679316816636
train_only,0.3,8,24,0.6232638888888888,0.852125128600823,0.6246339533690022
train_only,0.3,9,15,0.3194444444444444,0.7301713605967078,0.2102371825828212
train_only,0.4,1,18,0.6354166666666666,0.8730910815329218,0.6361191952510725
train_only,0.4,2,15,0.2725694444444444,0.5425226658950617,0.19976221391178095
train_only,0.4,3,37,0.6666666666666666,0.8810562950102881,0.6662744124327172
train_only,0.4,4,45,0.4027777777777778,0.6931745113168724,0.3792102499896202
train_only,0.4,5,15,0.2604166666666667,0.5494510352366255,0.15426721609925845
train_only,0.4,6,15,0.2708333333333333,0.5628938400205761,0.27051364438191716
train_only,0.4,7,16,0.3003472222222222,0.6499445408950617,0.2781228361839963
train_only,0.4,8,31,0.640625,0.8608338155864197,0.6405864343820548
train_only,0.4,9,25,0.5746527777777778,0.8243192193930042,0.5805738799693094
test_only,0.1,1,38,0.6215277777777778,0.877805105452675,0.6008510209514675
test_only,0.1,2,24,0.3072916666666667,0.6261775012860081,0.23651448481276519
test_only,0.1,3,33,0.7222222222222222,0.9330713091563786,0.7116127708342438
test_only,0.1,4,23,0.3819444444444444,0.689967528292181,0.357353661501813
test_only,0.1,5,15,0.25,0.5013603555812757,0.1
test_only,0.1,6,16,0.2586805555555556,0.5821076067386831,0.22132664853605705
test_only,0.1,7,37,0.3454861111111111,0.6615306712962963,0.3205427326320833
test_only,0.1,8,50,0.6666666666666666,0.9011461548353911,0.6584942646745621
test_only,0.1,9,28,0.6145833333333334,0.8443287037037037,0.6113436277771981
test_only,0.2,1,,0.6666666666666666,0.8812090084876543,0.6516828795056876
test_only,0.2,2,23,0.2916666666666667,0.5875188882458848,0.2710778346863422
test_only,0.2,3,27,0.5954861111111112,0.9167550797325102,0.5896920166181416
test_only,0.2,4,21,0.4288194444444444,0.6931463798868313,0.3819158181747552
test_only,0.2,5,15,0.24131944444444445,0.5237851240997943,0.1088196633991701
test_only,0.2,6,16,0.3090277777777778,0.619016042952675,0.29614652857337864
test_only,0.2,7,24,0.3420138888888889,0.6615427276234568,0.3013013316960751
test_only,0.2,8,50,0.7065972222222222,0.9012626993312759,0.7081405691891993
test_only,0.2,9,34,0.6319444444444444,0.859109760802469,0.6360958943494552
test_only,0.3,1,,0.5815972222222222,0.8543233989197531,0.5740198556463617
test_only,0.3,2,17,0.2673611111111111,0.5444155092592592,0.22059271398541522
test_only,0.3,3,33,0.6145833333333334,0.8816349987139916,0.6105136871742348
test_only,0.3,4,20,0.4444444444444444,0.6900961291152264,0.42528191085357614
test_only,0.3,5,15,0.24305555555555555,0.5160469714506173,0.10752669944058314
test_only,0.3,6,16,0.2795138888888889,0.5853226273148149,0.24060095525681602
test_only,0.3,7,23,0.3628472222222222,0.6419994212962963,0.3567955343470317
test_only,0.3,8,32,0.6788194444444444,0.8832425090020576,0.6781969153820809
test_only,0.3,9,37,0.6163194444444444,0.8586234889403291,0.6231400276369444
test_only,0.4,1,,0.6232638888888888,0.8636750900205761,0.602750166247216
test_only,0.4,2,16,0.2586805555555556,0.5149819958847736,0.24337863836364504
test_only,0.4,3,46,0.6666666666666666,0.891163515946502,0.6599223015376441
test_only,0.4,4,17,0.3472222222222222,0.6648943865740741,0.3155007824926508
test_only,0.4,5,15,0.25,0.5138848701131687,0.1
test_only,0.4,6,16,0.2569444444444444,0.5847680362654321,0.1374496585269419
test_only,0.4,7,25,0.3576388888888889,0.6429518711419753,0.3374661527623113
test_only,0.4,8,38,0.5486111111111112,0.8672839506172839,0.5320219133977523
test_only,0.4,9,29,0.6024305555555556,0.843922807355967,0.6090811554995375
